assignee,sector
EUCHLOE BIO PTE LTD,company
EUREKA ANALYTICS PTE LTD,company
EV71 HK LTD,company
EVEREST MEDICINES SINGAPORE PTE LTD,company
EVERGREEN LAND LTD,company
EVERSUS INTERNATIONAL LTD,company
EVERTRON HOLDINGS PTE LTD,company
EVISION TECH LIMITED,company
EVYD RES PRIVATE LIMITED,company
EVYD TECH LIMITED,company
EWIG INDUSTRIES MACAO COMMERCIAL OFFSHORE LTD,company
EXCELITAS TECH SINGAPORE PTE LTD,company
EXOGEN PTE LTD,company
EXPERT AI ENABLING LTD,company
EXPLOR INVEST PTE LTD,company
EXPLORUS SURGICAL LTD,company
EXRHERA LTD,company
EYRIS PTE LTD,company
Enjin PTE LTD,company
Entropica Labs,company
FABRICA ROBOTICS PTE LTD,company
FARM LOCALLY LTD,company
FASTACASH PTE LTD,company
FBD BIOLOGICS LTD,company
FERMATICS PTE LTD,company
FIBROSOFT PTE LTD,company
FIFTH FORCE TECH LIMITED,company
FIH HONG KONG LTD,company
FIND SOLUTION ARTIFICIAL INTELLIGENCE LTD,company
FIRST GAIN INT LTD,company
FITSON SINGAPORE PTE LTD,company
FLAT PLANET LTD,company
FLEX LTD,company
FLEXOSENSE PTE LTD,company
FLEXXON PTE LTD,company
FLOATING KNIGHT BIOTECH PTE LTD,company
FMC AGRO SINGAPORE PTE LTD,company
FMC ARGO SINGAPORE PTE LTD,company
FMCG CONSULTING LTD,company
FOREVER CHEER HOLDING LTD,company
FOREVER CHEER INTERNATIONAL LTD,company
FORIS TECH PTE LTD,company
FORSTAR LTD,company
FORTH TV PTE LTD,company
FORTVITA BIOLOGICS SINGAPORE PTE LTD,company
FOX GLACIER ASSET MAN INC,company
FOX GLACIER ASSET MAN LLC,company
FRACTAL COGNITIVES PTE LTD,company
FRESENIUS MEDICAL CARE ASIA PACIFIC LTD,company
FRESH IDEA GLOBAL LTD,company
FRESH ON LTD,company
FRESHTOHOME PTE LTD,company
FRUIT INNOVATIONS LTD,company
FSC TECH PTE LTD,company
FULL LIFE TECH HK LIMITED,company
FULLERTON HEALTHCARE GROUP PTE LTD,company
FULLFAITH INTERNATIONAL HOLDING LTD,company
FUND ROOTS SOFTWARE CREATIVE LTD,company
FUNDNICE PTE LTD,company
FUSE BIOSCIENCES HONG KONG LTD,company
FUTURE MOBILITY CORPORATION LTD,company
FUTURE OF PLAY GLOBAL LTD,company
Fg innovation co ltd,company
Float Foods Pte Ltd,company
G NIUS PTE LTD,company
GA HEALTH & BEAUTY CO LTD,company
GA HEALTH COMPANY LTD,company
GALILEO PLATFORMS LTD,company
GAMOLIN LTD,company
GAMOT GLOBAL PTE LTD,company
GARENA ONLINE PRIVATE LTD,company
GARINI TECH CORPORATION PTE LTD,company
GASHUBUNITED UTILITY PTE LTD,company
GATE INFORMATION PTE LTD,company
GEB IMPACT TECH COMPANY LIMITED,company
GENEDITBIO LTD,company
GENEJUNCTION PTE LTD,company
GENERAL SYSTEMS SG PTE LTD,company
GENESIS MEDTECH INTERNATIONAL PRIVATE LTD,company
GENESISPRO PTE LTD,company
GENIELAND COMPANY LTD,company
GENSE TECH LIMITED,company
GENUINE FIRST AID INT LTD,company
GERMANY HEALMUSZ INTERNATIONAL CO LTD,company
GERO PTE LTD,company
GET TO KNOW YOUR BRAIN PTE LTD,company
GIGALINK TECH HOLDING LIMITED,company
GLO BIG BOSS LTD,company
GLOBAL COSMETICS HONG KONG COMPANY LTD,company
GLOBAL DESIGN CORP LTD,company
GLOBAL ENGINEERS INVEST SINGAPORE PTE LTD,company
GLOBAL ENGINEERS TECH PTE LTD,company
GLOBAL GENE CORP PTE LTD,company
GLOBAL TAX REFUND HOLDINGS COMPANY LTD,company
GLOBALFOUNDRIES SG PTE LTD,company
GLOOBE PTE LTD,company
GMO GLOBALSIGN PTE LTD,company
GMP BIOTECHNOLOGY LTD,company
GO PLUS HOLDINGS PTE LTD,company
GODEVA PTE LTD,company
GOLDBOX TECH LTD,company
GOLDWAY TECH LIMITED,company
GOODIX TECH HK COMPANY LIMITED,company
GOODMAN FIELDER PTE LTD,company
GOOEE LTD,company
GOVITA TECH LTD,company
GP NETWORK ASIA PTE LTD,company
GPS LANDS SINGAPORE PTE LTD,company
GRABTAXI HOLDING PTE LTD,company
GRABTAXI HOLDINGS PTE LTD,company
GRACE AND KOWLOON HOLDINGS LTD,company
GRACE UNION TECH LIMITED,company
GRAND ADVANCE TECH PTE LTD,company
GRAND DECADE DEVELOPMENTS LTD,company
GREAT PACIFIC HOLDINGS LTD,company
GREEN GARDEN TOYS HONG KONG CO LTD,company
GREENPHYTO PTE LTD,company
GREENWAVE SYSTEMS PTE LTD,company
GREY ORANGE PTE LTD,company
GREYORANGE PTE LTD,company
GROKING LAB LTD,company
GROUP IB GLOBAL PRIVATE LTD,company
GRUPP AJ BI GLOBAL PRAJVET LTD,company
GSHIELD ASIA PTE LTD,company
GT APEIRON THERAPEUTICS LTD,company
GT ROBOT TECH PTE LTD,company
GURU NETWORK LTD,company
GivePlease Pte Ltd,company
Global Healthcare SG Pte Ltd,company
GreenArc Capital,company
H3 DYNAMICS PTE LTD,company
HAI KANG LIFE CORP LTD,company
HAI KANG LIFE CORPORATION LTD,company
HAISCO INNOVATIVE PHARMACEUTICAL PTE LTD,company
HAISCO PHARMACEUTICALS PTE LTD,company
HALESIGHT PTE LTD,company
HALF EPSILON PTE LTD,company
HAMPEN TECH CORPORATION LIMITED,company
HANERA PTE LTD,company
HANNAH LIFE TECH PTE LTD,company
HANSON ROBOTICS LTD,company
HARRIA INVEST GROUP INC,company
HAYCO MANFACTURING LTD,company
HAYCO MFG LIMITED,company
HAYCO MFG LTD,company
HCP HEALTHCARE ASIA PTE,company
HCP HEALTHCARE ASIA PTE LTD,company
HCT GROUP HOLDINGS LTD,company
HDR SG PTE LTD,company
HEALINT PTE LTD,company
HEALTH AND HAPPINESS H&H HONG KONG LTD,company
HEALTH HOPE PHARMA LTD,company
HEALTH PARTNERS PTE LTD,company
HEALTHLINK PROTOCOL PTE LTD,company
HEARSAFE LTD,company
HEARTISANS LTD,company
HEHEALTH PTE LTD,company
HELAXY INC,company
HEMIX BIOTECH LTD,company
HEMO BIOENGINEERING PTE LTD,company
HENDERSON REAL ESTATE AGENCY LTD,company
HENDRICKS CORP PTE LTD,company
HEPAGENE THERAPEUTICS HK LTD,company
HEPTAGON MICRO OPTICS PTE LTD,company
HERAEUS MATERIALS SINGAPORE PTE LTD,company
HERBA INVEST PTE LTD,company
HEROKA IND LTD,company
HESTIA TECH LIMITED,company
HI BEAU GROUP PTE LTD,company
HICC PTE LTD,company
HICURA MEDICAL PTE LTD,company
HIFIBIO HK LTD,company
HIGH DEVELOPMENT LTD,company
HIGHWAYS DEPT THE GOVERNMENT OF THE HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLES,public_rd
HIGHWAYS DEPT THE GOVERNMENT OF THE HONG KONG SPECIAL ADMINISTRATIVE REGION OF THE PEOPLES REPUBLIC,public_rd
HIGHWAYS DEPT THE GOVERNMENT OF THE HONG KONG SPECIAL ADMINISTRATVIE REGION OF THE PEOPLES REPUBLIC,public_rd
HIJO IP PTE LD,company
HIJO IP PTE LTD,company
HILL ROM SERVICE PTE LTD,company
HILL ROM SERVICES PTE LTD,company
HILL-ROM SERVICES PTE LTD,company
HILLMING COMPANY LTD,company
HISHAB SINGAPORE PRIVATE LTD,company
HISTOINDEX PTE LTD,company
HK APPLIED SCIENCE & TECH RES,public_rd
HK LIGHT FERRY BIOMED LTD,company
HK LIJUN TECH LIMITED,company
HKG EPITHERAPEUTICS LTD,company
HOFFMANN ASIA LTD,company
HOME CONTROL SINGAPORE PTE LTD,company
HOMETEK INT LTD,company
HONG CENTRE FOR CEREBRO CARDIOVASCULAR HEALTH ENGINEERING LTD,public_rd
HONG KONG ABBY TECH CO LTD,company
HONG KONG APPLIED SCIENCE & TECH RESEARCH INST CO LTD,public_rd
HONG KONG APPLIED SCIENCE AND TECH RES,public_rd
HONG KONG APPLIED SCIENCE AND TECH RES INST CO LTD,public_rd
HONG KONG APPLIED SCIENCE AND TECH RESEARCH,public_rd
HONG KONG APPLIED SCIENCE AND TECH RESEARCH INSTITUTE COMPANY,public_rd
HONG KONG APPLIED SCIENCE AND TECHNOLOY RES INSTITUTE COMPANY LIMITED,public_rd
HONG KONG APPLIES SCIENCE AND TECH RESEARCH INSTITUTE COMPANY LIMITED,public_rd
HONG KONG CENTER FOR NEURODEGENERATIVE DISEASES LTD,public_rd
HONG KONG CENTRE FOR CEREBRO CARDIOVASCULAR HEALTH ENGINEERING LTD,public_rd
HONG KONG CENTRE FOR LOGISTICS ROBOTICS LTD,public_rd
HONG KONG FORTUNE TECH LTD,company
HONG KONG GREEN DREAMER TECH LIMITED,company
HONG KONG HAICUN TECH CO LIMITED,company
HONG KONG INTELLECTUAL PROPERTY EXCHANGE LTD,company
HONG KONG IVPS INTERNATIONAL LTD,company
HONG KONG KING FRIEND INDUSTRIAL COMPANY LTD,company
HONG KONG LIVEME CORPORATION LTD,company
HONG KONG MORNING STAR INTERNATIONAL HOLDING LTD,company
HONG KONG OCCUPATIONAL THERAPY ASSOCIATION LTD,company
HONG KONG PASSKEY IND CO LTD,company
HONG KONG POLYTECHNIC UNIV,university
HONG KONG PRODUCTIVITY COUNCIL,public_rd
HONG KONG PRODUCTIVITY COUNCIL HKPC,public_rd
HONG KONG R&D CENTRE FOR LOGISTICS AND SUPPLY CHAIN MANAGEMENT ENABLING TECH LIMITED,public_rd
HONG KONG R&D CENTRE FOR LOGISTICS AND SUPPLY CHAIN MANAGEMENT ENABLING TECH LIMITED HONG,public_rd
HONG KONG RES INST TEXTILES & APPAREL LTD,public_rd
HONG KONG TELECOMMUNICATIONS HKT LTD,company
HONG KONG TELECOMMUNICATIONS HTK LTD,company
HONK KONG POLYTECHNIC UNIV,university
HOOW FOODS PTE LTD,company
HOPE TECHNIK PTE LTD,company
HOPEFUL RUBBER MFG CO LIMITED,company
HORIZON QUANTUM COMPUTING PTE LTD,company
HOUSING & DEV BOARD,public_rd
HOVIONE HOLDING LTD,company
HOVIONE INT LTD,company
HOYA MEDICAL SINAPORE PTE LTD,company
HUAWEI INT PTE LTD,company
HUAWEI INTERNAT PTE LTD,company
HUI DING INT PTE LTD,company
HUIDAGENE THERAPEUTICS PTE LTD,company
HUIDAGENE THERAPEUTICS SINGAPORE PTE LTD,company
HUIKE SINGAPORE HOLDING PTE LTD,company
HUMANBODY SPACE AI MEDTECH GROUP PTE LTD,company
HUMMINGBIRD BIOSCIENCE HOLDINGS LTD,company
HUMMINGBIRD BIOSCIENCE HOLDINGS PTE LTD,company
HUMMINGBIRD BIOSCIENCE PTE LTD,company
HUMMINGBIRD BIOSCIENCES HOLDINGS LTD,company
HUNG HON INDUSTRIAL COMPANY LTD,company
HUS UNMANNED SYSTEMS PTE LTD,company
HYGIEIA HEALTH CO LTD,company
HYPERGENOMICS PTE LTD,company
HYPHENS PHARMA PTE LTD,company
HYTTO PTE LTD,company
Health Hope Pharma HK Ltd,company
Horizon IP Pte Ltd,company
Hoya Medical Singapore Pte Ltd,company
I MAB BIOPHARMA HONG KONG LTD,company
I SUPPORT PTE LTD,company
ICALC HOLDINGS LTD,company
ICO PLATFORM PTE LTD,company
ID INFINITY LTD,company
IEMIS HK LTD,company
IFREE GROUP HK LTD,company
IGGENE LTD,company
IGIN SMART HYGIENE PTE LTD,company
IKO PTE LTD,company
ILLINOIS AT SINGAPORE PTE LTD,company
ILLUMINA SINGAPORE PTE LTD,company
ILUMINA SINGAPORE PTE LTD,company
IMMORTAL SPIRIT LTD,company
IMMUNOA PTE LTD,company
IMMUNOSCAPE PTE LTD,company
IMUNAMI LABORATORIES PTE LTD,company
INCANDO THERAPEUTICS PTE LTD,company
INCEPTIO HONGKONG LTD,company
INCOME INSURANCE LTD,company
INDHOUSE LTD,company
INFAGEN HONG KONG LTD,company
INFINITY CUBE LTD,company
INFINITY OPTICS SOLUTIONS PTE LTD,company
INFINIUM ROBOTICS PTE LTD,company
INFO COMMUNICATIONS MEDIA DEV AUTHORITY,public_rd
INFO WISE LTD,company
INFOTOO INTERNATIONAL LTD,company
INGENIO TECH CO LIMITED,company
INHIBIO BIOSCIENCE PTE LTD,company
INMAGENE PTE LTD,company
INMOBI PTE LTD,company
INNOCIMAB PTE LTD,company
INNOCORN TECH LIMITED,company
INNONEURO LTD,company
INNOSIMAB PTE LTD,company
INNOSPARKS PTE LTD,company
INNOSPIRE TECH LIMITED,company
INNOTECH APPLIANCE LTD,company
INNOTIER LTD,company
INNOVATION STREET PTE LTD,company
INNOVATIVE PREC INSTR LTD,company
INNOVATIVE PREC INSTRUMENTS LIMITED,company
INNOVENT BIOLOGICS SINGAPORE CO LTD,company
INNOVENT BIOLOGICS SINGAPORE PTE LTD,company
INNOVFUSION PTE LTD,company
INNOWORKS PRODUCT CREATION LTD,company
INSILICO MEDICINE HONG KONG LTD,company
INSILICO MEDICINE IP LTD,company
INSPIRAR LTD,company
INSPIRATE MEDICAL PTE LTD,company
INST OF BIOENGINEERING AND NANOTECHNOLOGY,public_rd
INST OF BIOENGINEERING AND NANOTECHNOLOGY BIOMEDICAL SCIENCES INST,public_rd
INST OF MOLECULAR AND CELL BIOLOGY BIOMEDICAL SCIENCES INSTS,public_rd
INST OF TECHNICAL EDUCATION,public_rd
INSTITUTE OF MOLECULAR AND CELL BIOLOGY BIOMEDICAL SCIENCES INSTITUTES,public_rd
INT BIOTECH INSTITUTE INC,company
INT TECH HK CO LTD,company
INTEGRAL CARE TECH LTD,company
INTEGRAL TECH S PTE LTD,company
INTELLECTUAL PROPERTY WHOLLY OWNED CO LTD,company
INTELLIGENCE & PARTNER LTD,company
INTELLIGENT HEALTHCARE TECH LIMITED,company
INTERACTIVE HOLDINGS LTD,company
INTERNATIONAL ASSOCIATION FOR MEDICAL AND DENTAL RES LIMITED,company
INTERNET INVESTMENTS GROUP LTD,company
INTERSELECT TRADING LTD,company
INTERVAAL PTE LTD,company
INTRA IMMUSG PRIVATE LTD,company
INTRA IMMUSG PRIVATE LTD SG,company
INVISIRON PTE LTD,company
INVIVO MEDICAL PTE LTD,company
INZSURE PTE LTD,company
IOLERA HOLDINGS PTE LTD,company
IOTA MEDTECH PTE LTD,company
IP FULL ASSET LTD,company
IPC WORKS LTD,company
IPLENA PTE LTD,company
IPROPHET TECHNOLOGY LTD,company
IQ WORKS LTD,company
IRNOVATE PTE LTD,company
IRON HORSE AI PRIVATE LTD,company
IRON HORSE AL PRIVATE LTD,company
ISKY RES PTE LTD,company
ISUNCLOUD LTD,company
ITABMED HK LTD,company
ITSEC ANALYTICS PTE LTD,company
IX ASIA LTD,company
IX BIOPHARMA LTD,company
Innotech Resources Pte Ltd,company
JACOBSON RES LABORATORY LIMITED,company
JACOBSON RES LABORTORY LIMITED,company
JACOBSON T&D LTD,company
JAGUAHR THERAPEUTICS PTE LTD,company
JATT PTE LTD,company
JAVIS Holdings Pte Ltd,company
JBM RES LABORATORY LIMITED,company
JCS BIOTECH PTE LTD,company
JCS Biotech Ptd Ltd,company
JELLICE PIONEER PRIVATE LTD TAIWAN BRANCH SINGAPORE,company
JERRY TAN EYE SURGERY PTE LTD,company
JEWEL PAYMENTECH PTE LTD,company
JI XING PHARMACEUTICALS HONG KONG LTD,company
JING KING TECH HOLDINGS PTE LTD,company
JINGANG MEDICINE AUSTRALIA PTY LTD,company
JJSK R & D PTE LTD,company
JJSK R AND D PTE LTD,company
JJSK R&D Pte Ltd,company
JLWH PTE LTD,company
JMEDTECH COATING TECH PTE LTD,company
JMEDTECH PTE LTD,company
JN MEDSYS PTE LTD,company
JOHN TECH HOLDINGS LIMITED,company
JOHNSON & JOHNSON PTE LTD,company
JOINT CONCEPT (HONG KONG) LTD,company
JOINT CONCEPT HONG KONG LTD,company
JOYINME PTE LTD,company
JOYME PTE LTD,company
JTC CORP,company
JUNION LABS PTE LTD,company
JUPENG BIO HK LTD,company
JUPITER PALACE PTE LTD,company
JURONG TOWN CORP,company
JYSK SKIN SOLUTIONS PTE LTD,company
KAEO TECH PTE LTD,company
KAHA PTE LTD,company
KAISHI PTE LTD,company
KALTIMEX MOBIOL SINGAPORE PTE LTD,company
KAMI INTELLIGENCE LTD,company
KANGTI PTE LTD,company
KANZBITAQA PTE LTD,company
KBP BIOSCIENCES PTE LTD,company
KEI INTERNATIONAL LTD,company
KEI INTERNATIONAL LTD A CHINESE COMPANY,company
KEYSIGHT TECH SINGAPORE SALES PTE LTD,company
KIKA TECH (HK) HOLDINGS CO LIMITED,company
KIKA TECH HK HOLDINGS CO LIMITED,company
KIKAGO LTD,company
KIKKOMAN SINGAPORE R&D LABORATORY PTE LTD,company
KIN TECH LIMITED,company
KINGWELCH LTD,company
KISODO PTE LTD,company
KISSCO MARKETING SERVICES LTD,company
KKT TECH PTE LTD,company
KLASS ENG & SOLUTIONS PTE LTD,company
KNOREX PTE LTD,company
KO SHWE VENTURES,company
KOFFEEFRUIT PTE LTD,company
KOKIDO DEV LTD,company
KOLN 3D TECH MEDICAL LIMITED,company
KOLN HONG KONG LTD,company
KRONIKARE PTE LTD,company
KRU ENERGY ASIA PTE LTD,company
KURVE AUTOMATION PTE LTD,company
KWB GLOBAL LTD,company
LABORATORY FOR SYNTHETIC CHEMISTRY AND CHEMICAL BIOLOGY LTD,company
LABORATORY OF DATA DISCOVERY FOR HEALTH LTD,company
LAEKNA LTD,company
LAGUNAMOON BEAUTY LTD,company
LAMBDAGEN PTE LTD,company
LEAD BILLION LTD,company
LEAN STATION PTE LTD,company
LEAPXPERT LTD,company
LEEWARD PACIFIC PTE LTD,company
LEICA INSTR (SINGAPORE) PTE LTD,company
LEICA INSTR SINGAPORE 84 PTE LTD,company
LEICA INSTR SINGAPORE PTE LTD,company
LEMON INC,company
LENDDO PTE LTD,company
LENOVO ( SINGAPORE) PTE LTD,company
LENOVO ENTPR SOLUTIONS SINGAPORE PTE LTD,company
LENOVO SINGAPORE LTD,company
LENOVO SINGAPORE PET LTD,company
LENOVO SINGAPORE PTE LTD,company
LENOVO SINGAPORE PTE LTD NEW TECH PARK,company
LERNA BIOPHARMA PTE LTD,company
LIANKANG TECH LIMITED,company
LIBIAO ROBOTICS HOLDINGS PTE LTD,company
LIECHO ADVANCED MAT PTE LTD,company
LIFE & LIVING INTERNATIONAL LTD,company
LIFE TECH HOLDING PTE LTD,company
LIFE TECH HOLDINGS PTE LIMITED,company
LIFE TECH HOLDINGS PTE LTD,company
LIFENG TECH LIMITED,company
LIFENG TECH LTD,company
LIFESPANS LTD,company
LIFESTYLES HEALTHCARE PTE LTD,company
LIFETRACK MEDICAL SYSTEMS PRIVATE LTD,company
LIFETRONS SWITZERLAND GROUP LTD,company
LIFETRONS SWITZERLAND HOLDINGS LTD,company
LIFY COMPANY LTD,company
LIGATURE THERAPEUTICS PTE LTD,company
LIGERA RES PTE LTD,company
LIGHTELLIGENCE PTE LTD,company
LIHEALTH LTD,company
LINE BIZPLUS PTE LTD,company
LINXENS SINGAPORE PTE LTD,company
LION TCR PTE LTD,company
LIONSBOT INT PTE LTD,company
LIQUID GROUP PTE LTD,company
LITE ON SINGAPORE PTE LTD,company
LITTLE BIT PTE LTD,company
LITTLE NOBLEMAN TECH LIMITED,company
LITTLE NOBLEMAN TECH LTD,company
LIVIUS PTE LTD,company
LOGISTICS AND SUPPLY CHAIN MULTI TECH R&D CENTRE LTD,company
LOGISTICS AND SUPPLY CHAIN MULTITECH R&D CENTRE LTD,company
LOMACK IND CO LTD,company
LOMOTIF PRIVATE LTD,company
LONBLE ACUTREK LTD,company
LONDOBELL LABS PTE LTD,company
LONG SHENG FARMA LTD,company
LONGQ LTD,company
LONGRUNN MEDICAL FOOD PTE LTD,company
LONGTERM CONCEPT INT PTE LTD,company
LONGVIEW FINANCIAL LTD,company
LOTUS INT PTE LTD,company
LOYALTY ADVANTAGE PTE LTD,company
LUCAS GC LTD,company
LUCENCE DIAGNOSTICS PTE LTD,company
LUCENCE LIFE SCIENCES PTE LTD,company
LUMILEDS SINGAPORE PTE LTD,company
LUMINICELL PTE LTD,company
LYNX ANALYTICS PTE LTD,company
LYNXEMI PRIVATE LTD,company
LYNXEMI PTE LTD,company
LYTE VENTURES PTE LTD,company
LYVES HATCHER PTE LTD,company
Lomak Industrial Company Ltd,company
Lucenxia Ltd,company
M AND M TECH LIMITED,company
M AND M TECH LTD,company
M LEAGUE LTD,company
M LEAGUE PTE LTD,company
M-DAQ PTE LTD,company
MACHNET SG PTE LTD,company
MACROGEN ASIA PACIFIC PTE LTD,company
MAD TECH FOUNDATION LTD,company
MAGNEXT LIFE SCIENCE PTE LTD,company
MAICAPITAL LTD,company
MAIN CONTINENTAL TECH LIMITED,company
MAKE GREAT SALES LTD,company
MAMAME WHOLE FOODS PTE LTD,company
MANJALINK PTE LTD,company
MANLI INT LTD,company
MANN HUMMEL LIFE SCIENCE & ENV HOLDING SINGAPORE PTE LTD,company
MANN HUMMEL LIFE SCIENCES & ENV HOLDING SINGAPORE PTE LTD,company
MAP PLASTICS PTE LTD,company
MARCH PROJECTION LTD,company
MARITIME AND PORT AUTHORITY OF SINGAPORE,public_rd
MARVEL DIGITAL LTD,company
MARVEL RES LIMITED,company
MARVELL ASIA PTE LTD,company
MARVELL ASIA PTE LTD REGISTRATION NO 199702379M,company
MASSACHUSETTS INST TECHNOLOGY,public_rd
MAST IND (FAR EAST) LTD,company
MAST INDUSTRIES FAR EAST LTD,company
MASTERCARD AISA/PACIFIC PTE LTD,company
MASTERCARD ASIA,company
MASTERCARD ASIA PACIFIC PTE LTD,company
MASTERCARD INTERNATIONAL INC,company
MASTERCARD LABS KENYA HOLDINGS PTE LTD,company
MATCHINGPRO LTD,company
MATERCARD ASIA/PACIFIC PTE LTD,company
MATRIX TECH PTE LTD,company
MAXINASE LIFE SCIENCES LTD,company
MB TECH PARTNERS LTD,company
MBP INSIGHTS INC,company
MCLINICA PTE LTD,company
MDESIGN SOLUTIONS PTE LTD,company
MEDAIR LTD,company
MEDEZE TREASURY PTD LTD,company
MEDEZE TREASURY PTE LTD,company
MEDIATEK SINGAPORE PTE LTD,company
MEDIBOSTON LTD,company
MEDICONCEN LTD,company
MEDIOS TECH PTE LTD,company
MEDIPURPOSE PTE LTD,company
MEDISEN LTD,company
MEDISIX THERAPEUTICS INC,company
MEDIUM ACCESS SYSTEMS PRIVATE LTD,company
MEDKLINN TECH PTE LTD,company
MEDLINX ACACIA PTE LTD,company
MEDLYVES PTE LTD,company
MEDO DX PTE LTD,company
MEDPOT LTD,company
MEDTECH COATING TECH PTE LTD,company
MEDTIMES MOLECULAR LABORATORY LTD,company
MEDULLA PRO TECH PTE LTD,company
MEGA WINNING LTD,company
MEGASOFT LTD,company
MEIBAN GROUP PTE LTD,company
MEIBAN INT PTE LTD,company
MEMSIFT INNOVATIONS PTE LTD,company
MENARINI BIOMARKERS SINGAPORE PTE LTD,company
MENICON SINGAPORE PTE LTD,company
MENRIYAN WIRELESS HIGH POWER TECH (HK) LIMITED,company
MENTORICA TECH PTE LTD,company
MENTORICA TECHNOLOGY PTE LTD,company
MERCURY INNOVATIONS LTD,company
MERIDIAN INNOVATION LTD HONG KONG,company
MERLIN MD PTE LTD,company
MERLION PHARMACEUTICALS PTE LTD,company
MESH BIO PTE LTD,company
METABRAIN TECH PTE LTD,company
METAGENOM BIO HOLDINGS PTE LTD,company
METAMATIKS PTE LTD,company
METAVERSE GREEN EXCHANGE PTE LTD,company
MHC MEDICAL NETWORK PTE LTD,company
MICRO RESOURCES LTD,company
MICROBIOTA I CENTER MAGIC LTD,company
MICROMERTICS TECH PTE LTD,company
MICROMETRICS TECH PTE LTD,company
MICROPOINT TECH PTE LTD,company
MICROSFERE PTE LTD,company
MICROTUBE TECH PTE LTD,company
MIGHTY JAXX INT PTE LTD,company
MILLENNIUM ENTPR PTE LTD,company
MINDBCI PTE LTD,company
MINDFIO LTD,company
MINDS AI TECH LTD,company
MINDS AL TECH LTD,company
MING FAI INNOVATIVE SKIN CARE LAB LTD,company
MIOS PHARMACEUTICALS LTD,company
MIRACLE MAN PTE LTD,company
MIRXES LAB PTE LTD,company
MITROL BIOLOGIC PTE LTD,company
MITROL TECH PTE LTD,company
MITSUI CHEMICALS INC,company
MOBIAIR PTE LTD,company
MOBILE HEALTH PTE LTD,company
MOEXA PHARMACEUTICALS LTD,company
MOFFETT INTERNATIONAL CO LIMITED,company
MOFFETT INTERNATIONAL CO LTD,company
MOFFETT TECH CO LIMITED,company
MOFFETT TECHNOLOGIES CO LIMITED,company
MOJIA BIOTECH PTE LTD,company
MOLEAC PTE LTD,company
MONONUCLEAR THERAPEUTICS LTD,company
MOOVITA PTE LTD,company
MOTIGENIX SINGAPORE PTE LTD,company
MOZARK PTE LTD,company
MPICS INNOVATIONS PTE LTD,company
MPLUS MEDICAL DEVICE CORP PTE LTD,company
MSC CONSULTING (S) PTE LTD,company
MSC CONSULTING S PTE LTD,company
MSD INT GMBH,company
MSD INT GMBH SINGAPORE BRANCH,company
MSHEAF HEALTH MANAGEMENT TECH LIMITED,company
MSM HOLDINGS PTE,company
MSM Holdings Pte Ltd,company
MU GLOBAL HOLDING LTD,company
MULTI SCALE MEDICAL ROBOTICS CENTER LTD,company
MV SQUARE LTD,company
MVGX TECH PTE LTD,company
MY SCENT PTE LTD,company
MYCOTECH PTE LTD,company
MYOVOLT LTD,company
MYRO INT PTE LTD,company
MYRO INTERNATIONAL PTE LTD,company
Matralix Pte Ltd,company
MediSix Therapeutics Pte Ltd,company
Meridian Innovation Pte Ltd,company
MyDoc Pte Ltd,company
N K S F STAR LTD,company
N K S F STAR LTD NKSF,company
N&E INNOVATIONS PTE LTD,company
NAL PHARMACEUTICAL GROUP LTD,company
NAL PHARMACEUTICALS GROUP LTD,company
NAL PHARMACEUTICALS LTD,company
NALANTIS HOLDING LTD,company
NAMIKI PREC SINGAPORE PTE LTD,company
NAMZ PTE LTD,company
NANO & ADVANCED MATERIALS INST LTD,public_rd
NANO SCIENCES LTD,company
NANOCLEAN S PTE LTD,company
NANOMAB TECH LIMITED,company
NANSHA BIOLOGICS HONG KONG LTD,company
NANSHA BIOLOGIES HONG KONG LTD,company
NANTIN ENTERPRISE LTD,company
NANY ANG TECHNOLOGICAL UNIV,university
NANYANG BIOLOGICS PTE LTD,company
NANYANG HERBS PTE LTD,company
NANYANG POLYTECHNIC,university
NANYANG TECH UNVERSITY,university
NANYANG TECHNOLOGICAL UNIVERSITY SINGAPORE,university
NANYANG TECHNOLOGIES UNIV,university
NANYANG TECHNOLOGY UNIV,university
NANYANG TECHNOLOGYICAL UNIV,university
NANYANG TEHNOLOGICAL UNIV,university
NASOTRAK MEDICAL PTE LTD,company
NAT CANCER CT OF SINGAPORE PTE LTD,company
NAT HEALTHCARE GROUP,company
NAT HEART CENTRE SINGAPORE PTE LTD,company
NAT SKIN CENTER (S) PTE LTD,company
NAT SKIN CENTER S PTE LTD,company
NAT SKIN CENTRE S PTE LTD,company
NAT SKIN CENTRE SINGAPORE PTE LTD,company
NAT SKIN CT S PTE LTD,company
NAT UNIV HOSPITAL,university
NAT UNIV HOSPITAL (SINGAPORE) PTE LTD,public_rd
NAT UNIV HOSPITAL SINGAPORE PTE LTD,public_rd
NAT UNIV OF SINGPORE,university
NAT UNIV SINGAPORE,university
NAT UNIVERSITY HOSPITAL,university
NAT UNIVERSITY HOSPITAL S PTE LTD,university
NAT UNIVERSITY HOSPITAL SINGAPORE PTE LTD,university
NATION UNIV HOSPITAL SINGAPORE PTE LTD,university
NATIONAL UNIV HEALTH SYSTEM PTE LTD,university
NATIONAL UNIV HOSPITAL,university
